vehicleId,tripId,timeUnix,outdoorTemperature,temperatureRotorFront,temperatureRotorBack,velocity
3659478-10880825,3659478-10880825-1,1630506858000,25.5,31.0,31.0,19.58
3659478-10880825,3659478-10880825-1,1630506859000,25.5,31.0,31.0,19.04
3659478-10880825,3659478-10880825-1,1630506860000,25.5,31.0,31.0,18.52
3659478-10880825,3659478-10880825-1,1630506861000,25.5,31.0,31.0,18.1
3659478-10880825,3659478-10880825-1,1630506862000,25.5,31.0,31.0,17.74
3659478-10880825,3659478-10880825-1,1630506863000,25.5,31.0,31.0,17.39
3659478-10880825,3659478-10880825-1,1630506864000,25.5,31.0,31.0,16.91
3659478-10880825,3659478-10880825-1,1630506865000,25.5,31.0,31.0,16.34
3659478-10880825,3659478-10880825-1,1630506866000,25.5,31.0,31.0,14.28
3659478-10880825,3659478-10880825-1,1630506867000,25.5,31.0,31.0,12.27
3659478-10880825,3659478-10880825-1,1630506868000,25.5,31.0,31.0,11.99
3659478-10880825,3659478-10880825-1,1630506869000,25.5,31.0,31.0,13.78
3659478-10880825,3659478-10880825-1,1630506870000,25.5,31.0,31.0,16.71
3659478-10880825,3659478-10880825-1,1630506871000,25.5,31.0,31.0,18.24
3659478-10880825,3659478-10880825-1,1630506872000,25.5,31.0,31.0,18.21
3659478-10880825,3659478-10880825-1,1630506873000,25.5,31.0,31.0,17.53
3659478-10880825,3659478-10880825-1,1630506874000,25.5,31.0,31.0,16.92
3659478-10880825,3659478-10880825-1,1630506875000,25.5,31.0,31.0,17.32
3659478-10880825,3659478-10880825-1,1630506876000,25.5,31.0,31.0,18.9
3659478-10880825,3659478-10880825-1,1630506877000,25.5,31.0,31.0,20.09
3659478-10880825,3659478-10880825-1,1630506878000,25.5,31.0,31.0,19.17
3659478-10880825,3659478-10880825-1,1630506879000,25.5,31.0,32.0,18.84
3659478-10880825,3659478-10880825-1,1630506880000,25.5,31.0,32.0,18.59
3659478-10880825,3659478-10880825-1,1630506881000,25.5,31.0,32.0,16.98
3659478-10880825,3659478-10880825-1,1630506882000,25.5,31.0,32.0,17.32
3659478-10880825,3659478-10880825-1,1630506883000,25.5,31.0,32.0,21.21
3659478-10880825,3659478-10880825-1,1630506884000,25.5,31.0,32.0,24.44
3659478-10880825,3659478-10880825-1,1630506885000,25.5,31.0,32.0,24.53
3659478-10880825,3659478-10880825-1,1630506886000,25.5,31.0,32.0,24.3
3659478-10880825,3659478-10880825-1,1630506887000,25.5,31.0,32.0,23.82
3659478-10880825,3659478-10880825-1,1630506888000,25.5,31.0,32.0,22.38
3659478-10880825,3659478-10880825-1,1630506889000,25.5,31.0,32.0,19.74
3659478-10880825,3659478-10880825-1,1630506890000,25.5,31.0,32.0,16.86
3659478-10880825,3659478-10880825-1,1630506891000,25.5,31.0,32.0,15.36
3659478-10880825,3659478-10880825-1,1630506892000,25.5,31.0,32.0,13.22
3659478-10880825,3659478-10880825-1,1630506893000,25.5,31.0,32.0,9.29
3659478-10880825,3659478-10880825-1,1630506894000,25.5,31.0,32.0,4.98
3659478-10880825,3659478-10880825-1,1630506895000,25.5,31.0,32.0,1.04
3659478-10880825,3659478-10880825-1,1630506896000,25.5,31.0,32.0,0.15
3659478-10880825,3659478-10880825-1,1630506897000,25.5,31.0,32.0,0.13
3659478-10880825,3659478-10880825-1,1630506898000,25.5,31.0,32.0,6.81
3659478-10880825,3659478-10880825-1,1630506899000,25.5,31.0,32.0,18.61
3659478-10880825,3659478-10880825-1,1630506900000,25.5,31.0,33.0,24.58
3659478-10880825,3659478-10880825-1,1630506901000,25.5,31.0,33.0,24.54
3659478-10880825,3659478-10880825-1,1630506902000,25.5,31.0,33.0,25.64
3659478-10880825,3659478-10880825-1,1630506903000,25.5,31.0,33.0,29.28
3659478-10880825,3659478-10880825-1,1630506904000,25.5,32.0,33.0,33.45
3659478-10880825,3659478-10880825-1,1630506905000,25.5,32.0,33.0,36.39
3659478-10880825,3659478-10880825-1,1630506906000,25.5,32.0,33.0,39.48
3659478-10880825,3659478-10880825-1,1630506907000,25.5,32.0,33.0,42.13
3659478-10880825,3659478-10880825-1,1630506908000,25.5,32.0,34.0,43.76
3659478-10880825,3659478-10880825-1,1630506909000,25.5,32.0,34.0,43.75
3659478-10880825,3659478-10880825-1,1630506910000,25.5,32.0,34.0,43.71
3659478-10880825,3659478-10880825-1,1630506911000,25.5,32.0,34.0,44.11
3659478-10880825,3659478-10880825-1,1630506912000,25.5,32.0,34.0,44.74
3659478-10880825,3659478-10880825-1,1630506913000,25.5,32.0,34.0,44.49
3659478-10880825,3659478-10880825-1,1630506914000,25.5,32.0,34.0,43.59
3659478-10880825,3659478-10880825-1,1630506915000,25.5,32.0,34.0,43.05
3659478-10880825,3659478-10880825-1,1630506916000,25.5,32.0,34.0,41.99
3659478-10880825,3659478-10880825-1,1630506917000,25.5,32.0,34.0,40.62
3659478-10880825,3659478-10880825-1,1630506918000,25.5,32.0,34.0,39.33
3659478-10880825,3659478-10880825-1,1630506919000,25.5,32.0,34.0,38.69
3659478-10880825,3659478-10880825-1,1630506920000,25.5,32.0,34.0,38.52
3659478-10880825,3659478-10880825-1,1630506921000,25.5,32.0,34.0,38.07
3659478-10880825,3659478-10880825-1,1630506922000,25.0,32.0,34.0,41.01
3659478-10880825,3659478-10880825-1,1630506923000,25.0,32.0,35.0,44.1
3659478-10880825,3659478-10880825-1,1630506924000,25.0,32.0,35.0,46.05
3659478-10880825,3659478-10880825-1,1630506925000,25.0,32.0,35.0,46.03
3659478-10880825,3659478-10880825-1,1630506926000,25.0,32.0,35.0,45.26
3659478-10880825,3659478-10880825-1,1630506927000,25.0,32.0,35.0,45.25
3659478-10880825,3659478-10880825-1,1630506928000,25.0,32.0,35.0,45.96
3659478-10880825,3659478-10880825-1,1630506929000,25.0,32.0,35.0,44.22
3659478-10880825,3659478-10880825-1,1630506930000,25.0,32.0,35.0,39.97
3659478-10880825,3659478-10880825-1,1630506931000,25.0,32.0,35.0,34.92
3659478-10880825,3659478-10880825-1,1630506932000,25.0,32.0,35.0,31.45
3659478-10880825,3659478-10880825-1,1630506933000,25.0,32.0,35.0,29.88
3659478-10880825,3659478-10880825-1,1630506934000,25.0,32.0,35.0,30.19
3659478-10880825,3659478-10880825-1,1630506935000,25.0,32.0,35.0,30.83
3659478-10880825,3659478-10880825-1,1630506936000,25.0,32.0,35.0,32.22
3659478-10880825,3659478-10880825-1,1630506937000,25.0,32.0,35.0,34.04
3659478-10880825,3659478-10880825-1,1630506938000,25.0,32.0,35.0,35.22
3659478-10880825,3659478-10880825-1,1630506939000,25.0,32.0,35.0,33.79
3659478-10880825,3659478-10880825-1,1630506940000,25.0,32.0,35.0,27.48
3659478-10880825,3659478-10880825-1,1630506941000,25.0,33.0,36.0,23.79
3659478-10880825,3659478-10880825-1,1630506942000,25.0,32.0,36.0,23.27
